,GISJoinMatchCode,DataFileYear,EstimatesMedianyearstructurebuilt
524,G0800350014011,2014-2018,2009
525,G0800350014012,2014-2018,NA
526,G0800350014013,2014-2018,2009
527,G0800350014107,2014-2018,1987
528,G0800350014108,2014-2018,1986
529,G0800350014109,2014-2018,2001
530,G0800350014110,2014-2018,1993
531,G0800350014112,2014-2018,1991
532,G0800350014113,2014-2018,1993
533,G0800350014114,2014-2018,1977
534,G0800350014115,2014-2018,1993
535,G0800350014116,2014-2018,2004
536,G0800350014122,2014-2018,1997
537,G0800350014123,2014-2018,1998
538,G0800350014124,2014-2018,NA
539,G0800350014125,2014-2018,2007
540,G0800350014126,2014-2018,2005
541,G0800350014127,2014-2018,2004
542,G0800350014128,2014-2018,1996
543,G0800350014129,2014-2018,1997
544,G0800350014130,2014-2018,NA
545,G0800350014131,2014-2018,2005
546,G0800350014132,2014-2018,2000
547,G0800350014133,2014-2018,1993
548,G0800350014134,2014-2018,2005
549,G0800350014135,2014-2018,2006
550,G0800350014136,2014-2018,1996
551,G0800350014137,2014-2018,NA
552,G0800350014138,2014-2018,1997
553,G0800350014139,2014-2018,1995
554,G0800350014140,2014-2018,NA
555,G0800350014202,2014-2018,1980
556,G0800350014203,2014-2018,1996
557,G0800350014204,2014-2018,2002
558,G0800350014300,2014-2018,1985
559,G0800350014403,2014-2018,1999
560,G0800350014404,2014-2018,1988
561,G0800350014405,2014-2018,1999
562,G0800350014406,2014-2018,2008
563,G0800350014503,2014-2018,1999
564,G0800350014504,2014-2018,1978
565,G0800350014505,2014-2018,2002
566,G0800350014506,2014-2018,2005
567,G0800350014602,2014-2018,1990
568,G0800350014603,2014-2018,1995
569,G0800350014604,2014-2018,2004
570,G0800370000100,2014-2018,1991
571,G0800370000200,2014-2018,1995
572,G0800370000301,2014-2018,1995
573,G0800370000302,2014-2018,1988
574,G0800370000401,2014-2018,1995
575,G0800370000402,2014-2018,1995
576,G0800370000403,2014-2018,2000
577,G0800370000501,2014-2018,1993
578,G0800370000502,2014-2018,1983
579,G0800370000503,2014-2018,1994
580,G0800370000600,2014-2018,1971
581,G0800370000701,2014-2018,1984
582,G0800370000702,2014-2018,1978
583,G0800370000703,2014-2018,1979
584,G0800390961100,2014-2018,1975
585,G0800390961204,2014-2018,1996
586,G0800390961205,2014-2018,1993
587,G0800390961206,2014-2018,1990
588,G0800390961207,2014-2018,1994
589,G0800390961208,2014-2018,1992
590,G0800390961209,2014-2018,1991
591,G0800410000101,2014-2018,1983
592,G0800410000102,2014-2018,1964
593,G0800410000202,2014-2018,1975
594,G0800410000203,2014-2018,1971
595,G0800410000301,2014-2018,1963
596,G0800410000302,2014-2018,1980
597,G0800410000400,2014-2018,1959
598,G0800410000500,2014-2018,1951
599,G0800410000600,2014-2018,1957
600,G0800410000700,2014-2018,1962
601,G0800410000800,2014-2018,1954
602,G0800410000900,2014-2018,0
603,G0800410001000,2014-2018,0
604,G0800410001101,2014-2018,1958
605,G0800410001104,2014-2018,1975
606,G0800410001301,2014-2018,0
607,G0800410001302,2014-2018,1975
608,G0800410001400,2014-2018,0
609,G0800410001500,2014-2018,0
610,G0800410001600,2014-2018,0
611,G0800410001700,2014-2018,0
612,G0800410001800,2014-2018,0
613,G0800410001900,2014-2018,1966
614,G0800410002000,2014-2018,1969
615,G0800410002101,2014-2018,1964
616,G0800410002102,2014-2018,1967
617,G0800410002200,2014-2018,0
618,G0800410002300,2014-2018,0
619,G0800410002400,2014-2018,1991
620,G0800410002501,2014-2018,1970
621,G0800410002502,2014-2018,1968
622,G0800410002700,2014-2018,1947
623,G0800410002800,2014-2018,1973
624,G0800410002900,2014-2018,1959
625,G0800410003000,2014-2018,1961
626,G0800410003100,2014-2018,1974
627,G0800410003303,2014-2018,1978
628,G0800410003305,2014-2018,1989
629,G0800410003306,2014-2018,1993
630,G0800410003307,2014-2018,1984
631,G0800410003308,2014-2018,1994
632,G0800410003400,2014-2018,1966
633,G0800410003701,2014-2018,1988
634,G0800410003702,2014-2018,1985
635,G0800410003705,2014-2018,1988
636,G0800410003706,2014-2018,1985
637,G0800410003707,2014-2018,1990
638,G0800410003708,2014-2018,1995
639,G0800410003709,2014-2018,1988
640,G0800410003801,2014-2018,1968
641,G0800410003802,2014-2018,NA
642,G0800410003902,2014-2018,2005
643,G0800410003905,2014-2018,1987
644,G0800410003906,2014-2018,1987
645,G0800410003909,2014-2018,1990
646,G0800410004008,2014-2018,2010
647,G0800410004009,2014-2018,1980
648,G0800410004100,2014-2018,1960
649,G0800410004200,2014-2018,1976
650,G0800410004300,2014-2018,1988
651,G0800410004401,2014-2018,2002
652,G0800410004402,2014-2018,1957
653,G0800410004403,2014-2018,2006
654,G0800410004501,2014-2018,1976
655,G0800410004502,2014-2018,2001
656,G0800410004503,2014-2018,2002
657,G0800410004506,2014-2018,1970
658,G0800410004507,2014-2018,1976
659,G0800410004508,2014-2018,1981
660,G0800410004510,2014-2018,2005
661,G0800410004511,2014-2018,1996
662,G0800410004601,2014-2018,1993
663,G0800410004602,2014-2018,1991
664,G0800410004603,2014-2018,2002
665,G0800410004701,2014-2018,1979
666,G0800410004702,2014-2018,1985
667,G0800410004703,2014-2018,1986
668,G0800410004705,2014-2018,1998
669,G0800410004706,2014-2018,2005
670,G0800410004800,2014-2018,1976
671,G0800410004901,2014-2018,1975
672,G0800410004902,2014-2018,1993
673,G0800410005000,2014-2018,1976
674,G0800410005104,2014-2018,2005
675,G0800410005105,2014-2018,1997
676,G0800410005106,2014-2018,2005
677,G0800410005107,2014-2018,2006
678,G0800410005108,2014-2018,1996
679,G0800410005109,2014-2018,2004
680,G0800410005110,2014-2018,1985
681,G0800410005111,2014-2018,2003
682,G0800410005201,2014-2018,1970
683,G0800410005202,2014-2018,1983
684,G0800410005300,2014-2018,1976
685,G0800410005400,2014-2018,1975
686,G0800410005501,2014-2018,1985
687,G0800410005502,2014-2018,NA
688,G0800410005601,2014-2018,1982
689,G0800410005602,2014-2018,1982
690,G0800410005700,2014-2018,1975
691,G0800410005800,2014-2018,1977
692,G0800410005900,2014-2018,1979
693,G0800410006000,2014-2018,1969
694,G0800410006100,2014-2018,1975
695,G0800410006200,2014-2018,1985
696,G0800410006301,2014-2018,1987
697,G0800410006302,2014-2018,1992
698,G0800410006400,2014-2018,1982
699,G0800410006501,2014-2018,1983
700,G0800410006502,2014-2018,1992
701,G0800410006600,2014-2018,1961
702,G0800410006700,2014-2018,1961
703,G0800410006801,2014-2018,1985
704,G0800410006802,2014-2018,1988
705,G0800410006901,2014-2018,NA
706,G0800410006902,2014-2018,1990
707,G0800410007000,2014-2018,1996
708,G0800410007101,2014-2018,2010
709,G0800410007102,2014-2018,2001
710,G0800410007201,2014-2018,2006
711,G0800410007202,2014-2018,1997
712,G0800410007300,2014-2018,2001
713,G0800410007400,2014-2018,1993
714,G0800410007500,2014-2018,2000
715,G0800410007601,2014-2018,2003
716,G0800410007602,2014-2018,1991
717,G0800410007700,2014-2018,1982
718,G0800410007800,2014-2018,1993
719,G0800410007900,2014-2018,1989
720,G0800410008000,2014-2018,1975
721,G0800430978100,2014-2018,1982
722,G0800430978200,2014-2018,1958
723,G0800430978300,2014-2018,1984
724,G0800430978400,2014-2018,1983
725,G0800430978500,2014-2018,1983
726,G0800430978600,2014-2018,1949
727,G0800430978800,2014-2018,1959
728,G0800430979000,2014-2018,1990
729,G0800430979100,2014-2018,1974
730,G0800430979200,2014-2018,2003
731,G0800430979400,2014-2018,1994
732,G0800430980100,2014-2018,NA
733,G0800430980200,2014-2018,NA
734,G0800430980300,2014-2018,NA
735,G0800450951600,2014-2018,1992
736,G0800450951701,2014-2018,1992
737,G0800450951702,2014-2018,1959
738,G0800450951802,2014-2018,1995
739,G0800450951803,2014-2018,1982
740,G0800450951804,2014-2018,1997
741,G0800450951901,2014-2018,1995
742,G0800450951902,2014-2018,1999
743,G0800450952001,2014-2018,1997
744,G0800450952002,2014-2018,1984
745,G0800450952100,2014-2018,1993
746,G0800470013800,2014-2018,1981
747,G0800490000100,2014-2018,1978
748,G0800490000201,2014-2018,1985
749,G0800490000202,2014-2018,1993
750,G0800510963600,2014-2018,1979
751,G0800510963700,2014-2018,1976
752,G0800510963800,2014-2018,1988
753,G0800510963900,2014-2018,1987
754,G0800530973100,2014-2018,1983
755,G0800550960600,2014-2018,1948
756,G0800550960900,2014-2018,1984
757,G0800570955600,2014-2018,1977
758,G0800590009806,2014-2018,1967
759,G0800590009807,2014-2018,1965
760,G0800590009808,2014-2018,1981
761,G0800590009815,2014-2018,1990
762,G0800590009823,2014-2018,1979
763,G0800590009824,2014-2018,1982
764,G0800590009827,2014-2018,1992
765,G0800590009828,2014-2018,1980
766,G0800590009829,2014-2018,1986
767,G0800590009830,2014-2018,1979
768,G0800590009831,2014-2018,1991
769,G0800590009832,2014-2018,1969
770,G0800590009833,2014-2018,1976
771,G0800590009834,2014-2018,1978
