Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G0800010009306,60,6,3840000.000000000000000,869.931762695312500,871.895812988281250,1.964050292968750,870.651214599609375,0.700367304562095,5223.907287597656250
,G0800010009307,61,2,1280000.000000000000000,871.773132324218750,871.994201660156250,0.221069335937500,871.883666992187500,0.110534667968750,1743.767333984375000
,G0800010009308,62,5,3200000.000000000000000,870.166625976562500,872.118652343750000,1.952026367187500,871.318542480468750,0.722512970200774,4356.592712402343750
,G0800010009309,63,3,1920000.000000000000000,867.945373535156250,868.133544921875000,0.188171386718750,868.043334960937500,0.077015936014707,2604.130004882812500
,G0800010009310,64,3,1920000.000000000000000,868.941040039062500,869.125183105468750,0.184143066406250,869.037048339843750,0.075381967973191,2607.111145019531250
,G0800010009316,65,8,5120000.000000000000000,867.287048339843750,870.471557617187500,3.184509277343750,868.882789611816406,1.117228290923576,6951.062316894531250
,G0800010009318,66,4,2560000.000000000000000,869.656127929687500,870.792663574218750,1.136535644531250,870.224761962890625,0.499310924821502,3480.899047851562500
,G0800010009320,67,4,2560000.000000000000000,867.663513183593750,868.813598632812500,1.150085449218750,868.238922119140625,0.504806177938071,3472.955688476562500
,G0800010009321,68,2,1280000.000000000000000,866.815185546875000,867.063110351562500,0.247924804687500,866.939147949218750,0.123962402343750,1733.878295898437500
,G0800010009322,69,2,1280000.000000000000000,867.817810058593750,868.065063476562500,0.247253417968750,867.941436767578125,0.123626708984375,1735.882873535156250
,G0800010009323,70,5,3200000.000000000000000,868.792724609375000,870.521240234375000,1.728515625000000,869.800903320312500,0.597485141320005,4349.004516601562500
,G0800010009325,71,12,7680000.000000000000000,864.819885253906250,868.574462890625000,3.754577636718750,866.703323364257813,1.157422881770225,10400.439880371093750
,G0800010009326,72,3,1920000.000000000000000,865.926818847656250,866.543212890625000,0.616394042968750,866.239054361979129,0.251706618215575,2598.717163085937500
,G0800010009327,73,9,5760000.000000000000000,866.929992675781250,869.535827636718750,2.605834960937500,868.238050672743043,0.850399990587047,7814.142456054687500
,G0800010009401,74,9,5760000.000000000000000,863.788024902343750,867.052978515625000,3.264953613281250,865.792853461371578,1.043035900470007,7792.135681152343750
,G0800010009406,75,7,4480000.000000000000000,863.447265625000000,866.482543945312500,3.035278320312500,865.096775599888360,1.022805344146585,6055.677429199218750
,G0800010009407,76,4,2560000.000000000000000,863.629089355468750,866.660156250000000,3.031066894531250,865.146148681640625,1.129635715831140,3460.584594726562500
,G0800010009408,77,12,7680000.000000000000000,860.769470214843750,864.574462890625000,3.804992675781250,862.676986694335938,1.176505906036599,10352.123840332031250
,G0800010009409,78,12,7680000.000000000000000,861.872314453125000,865.535522460937500,3.663208007812500,863.709808349609375,1.162858474075785,10364.517700195312500
,G0800010009410,79,5,3200000.000000000000000,862.764160156250000,864.031860351562500,1.267700195312500,863.367089843750023,0.472646291584532,4316.835449218750000
,G0800010009411,80,4,2560000.000000000000000,864.796630859375000,866.056518554687500,1.259887695312500,865.426742553710938,0.520576326493408,3461.706970214843750
,G0800010009501,81,2,1280000.000000000000000,868.192810058593750,869.182128906250000,0.989318847656250,868.687469482421875,0.494659423828125,1737.374938964843750
