Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G3200310002206,1844,24,15360000.000000000000000,4414.306152343750000,4420.607910156250000,6.301757812500000,4417.578552246093750,1.570361762910994,106021.885253906250000
,G3200310002207,1845,14,8960000.000000000000000,4402.413574218750000,4413.460937500000000,11.047363281250000,4408.377127511160325,3.348589216311733,61717.279785156250000
,G3200310002208,1846,8,5120000.000000000000000,4412.255859375000000,4416.089843750000000,3.833984375000000,4414.464538574218750,1.356683938037700,35315.716308593750000
,G3200310002209,1847,19,12160000.000000000000000,4399.806152343750000,4414.944335937500000,15.138183593750000,4407.937397203947512,4.220483350201027,83750.810546875000000
,G3200310002210,1848,89,56960000.000000000000000,4379.219726562500000,4411.244628906250000,32.024902343750000,4397.372415949789684,6.913059178627266,391366.145019531250000
,G3200310002211,1849,7,4480000.000000000000000,4420.568359375000000,4421.752441406250000,1.184082031250000,4421.274344308035325,0.389901974335591,30948.920410156250000
,G3200310002212,1850,2,1280000.000000000000000,4421.811523437500000,4422.021972656250000,0.210449218750000,4421.916748046875000,0.105224609375000,8843.833496093750000
,G3200310002301,1851,69,44160000.000000000000000,4348.299804687500000,4381.577636718750000,33.277832031250000,4362.942149286684980,8.295089592672635,301043.008300781250000
,G3200310002302,1852,112,71680000.000000000000000,4321.259277343750000,4394.170898437500000,72.911621093750000,4347.171068464006567,19.431967759527243,486883.159667968750000
,G3200310002401,1853,7,4480000.000000000000000,4397.021972656250000,4402.992675781250000,5.970703125000000,4399.622628348214675,2.045965633335832,30797.358398437500000
,G3200310002406,1854,5,3200000.000000000000000,4400.609863281250000,4404.309570312500000,3.699707031250000,4402.677734375000000,1.262825098765471,22013.388671875000000
,G3200310002407,1855,6,3840000.000000000000000,4388.434570312500000,4398.276367187500000,9.841796875000000,4393.569254557291970,3.151194869670367,26361.415527343750000
,G3200310002408,1856,4,2560000.000000000000000,4385.342773437500000,4393.034667968750000,7.691894531250000,4390.043579101562500,2.901835881051086,17560.174316406250000
,G3200310002409,1857,17,10880000.000000000000000,4378.582031250000000,4389.921386718750000,11.339355468750000,4384.299689797793690,3.404554236772187,74533.094726562500000
,G3200310002410,1858,3,1920000.000000000000000,4391.115722656250000,4394.236328125000000,3.120605468750000,4392.497233072916970,1.298831449231935,13177.491699218750000
,G3200310002411,1859,7,4480000.000000000000000,4395.953613281250000,4401.211425781250000,5.257812500000000,4398.574637276785325,1.722212386710540,30790.022460937500000
,G3200310002412,1860,18,11520000.000000000000000,4364.235351562500000,4396.564941406250000,32.329589843750000,4376.227023654513687,9.133290556328321,78772.086425781250000
,G3200310002500,1861,14,8960000.000000000000000,4396.900878906250000,4408.062988281250000,11.162109375000000,4403.202985491071558,3.465203264568804,61644.841796875000000
,G3200310002603,1862,41,26240000.000000000000000,4291.671386718750000,4338.260253906250000,46.588867187500000,4315.463676638719335,12.984587277305721,176934.010742187500000
,G3200310002610,1863,10,6400000.000000000000000,4331.900878906250000,4345.363769531250000,13.462890625000000,4338.159228515624818,3.860182392361504,43381.592285156250000
,G3200310002611,1864,34,21760000.000000000000000,4337.729980468750000,4358.563476562500000,20.833496093750000,4347.798670151654733,5.638109730712076,147825.154785156250000
