"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","BTUng","CFng","COng","NOxNG","SOxNG","TOGng","PMng","CO2ng","BTUlpg","GALlpg","COlpg","NOxLPG","SOxLPG","TOGlpg","PMlpg","CO2lpg","BTUfo","GALfo","COfo","NOxFO","SOxFO","TOGfo","PMfo","CO2fo","response","SE","BTUwd","GISJOIN","FUELHEAT_1","FUELHEAT_2","FUELHEAT_3","FUELHEAT_5","FUELHEAT_7","FUELHEAT_21"
"23","G0800010008537","08",1881,10.3966459314909,0.0431798008102245,35111934.471917,73264393.2045528,70650.3309590673,2.82601323836269,6.64113111015232,0.0423901985754404,0.77715364054974,0.536942515288911,8571.93400493267,76631470.5013759,837.484104187623,1.5493455927471,15.0747138753772,30.1494277507544,2.08784787173975,0.234495549172535,10651.7743996913,48363859.9282521,347.941438332749,1.73970719166374,6.26294588998948,12.525891779979,0.867418005763542,0.869853595831872,7801.09060642706,9.72904755267009,0.124933037547575,27210231.2210037,"G0800010008537",0.808612440191388,0.0143540669856459,0.013290802764487,0.16374269005848,0,0
"24","G0800010008538","08",2255,10.433828480447,0.0431798008102245,36442061.2027021,74319617.2256822,71667.9047499347,2.86671618999739,6.73678304649386,0.0430007428499608,0.788346952249281,0.544676076099503,8695.39521540482,76284752.8502592,833.694923064624,1.54233560766955,15.0065086151632,30.0130172303265,2.07840144320011,0.233434578458095,10603.580646186,55208522.6101518,397.183615900373,1.98591807950186,7.14930508620671,14.2986101724134,0.990178754439629,0.992959039750932,8905.13469701749,9.79552954588884,0.124933037547575,29080709.2977826,"G0800010008538",0.851441241685144,0.0164079822616408,0,0.132150776053215,0,0
"25","G0800010008539","08",3044,10.3902336523366,0.0431798008102245,34887507.2603891,66166695.1154786,63805.8776426987,2.55223510570795,5.99775249841368,0.0382835265856192,0.701864654069686,0.48492467008451,7741.50332851099,74329971.6705634,812.33166128132,1.50281357337044,14.6219699030638,29.2439398061275,2.02514283157433,0.22745286515877,10331.8660622083,48113557.0874196,346.140698470645,1.73070349235322,6.2305325724716,12.4610651449432,0.862928761287317,0.865351746176611,7760.71675820078,9.68682426799832,0.124933037547575,26085243.3549079,"G0800010008539",0.684625492772667,0.00788436268068331,0,0.307490144546649,0,0
"26","G0800010008540","08",2480,10.4546355680765,0.0431798008102245,37208257.8816958,75297646.2292709,72611.0378295765,2.90444151318306,6.82543755598019,0.0435666226977459,0.798721416125342,0.551843887504782,8809.82460882469,76723298.9873598,838.487672262462,1.55120219368555,15.0927781007243,30.1855562014486,2.09034976695032,0.234776548233489,10664.538559243,52415645.1910421,377.090972597425,1.88545486298712,6.78763750675365,13.5752750135073,0.94008779468538,0.942727431493562,8454.64356931508,9.75466637584442,0.124933037547575,27916331.4326266,"G0800010008540",0.797177419354839,0.0157258064516129,0,0.162096774193548,0,0.025
"27","G0800010008542","08",2709,10.3868569587667,0.0431798008102245,34769901.50999,71588799.1710097,69034.5218621115,2.76138087448446,6.48924505503849,0.0414207131172669,0.759379740483227,0.524662366152048,8375.88950300813,72826875.8164252,795.904743245232,1.47242377500368,14.3262853784142,28.6525707568283,1.98419052491036,0.222853328108665,10122.9357384831,48982224.8187729,352.390106609877,1.76195053304938,6.34302191897778,12.6860438379556,0.878508535778423,0.880975266524692,7900.83286326807,9.71398872222878,0.124933037547575,26803546.7443025,"G0800010008542",0.850498338870432,0,0,0.149501661129568,0,0
"28","G0800010008543","08",2823,10.2253407290591,0.0431798008102245,29584065.3525708,63754542.7144919,61479.7904672053,2.45919161868821,5.7791003039173,0.0368878742803232,0.676277695139259,0.46724640755076,7459.28149759555,63271773.5983662,691.479679114841,1.27923740636246,12.4466342240671,24.8932684481343,1.7238588400333,0.193614310152155,8794.7765301729,55574823.2347665,399.818872192565,1.99909436096282,7.19673969946617,14.3934793989323,0.996748448376064,0.999547180481412,8964.21898776784,9.74331248905552,0.124933037547575,27601165.1329088,"G0800010008543",0.820403825717322,0.0219624512929508,0,0.153028692879915,0.00460503010981226,0
"29","G0800010008545","08",2244,10.3782594289429,0.0431798008102245,34472247.6223576,76050189.3997122,73336.7303758074,2.93346921503229,6.89365265532589,0.0440020382254844,0.806704034133881,0.557359150856136,8897.87215976633,70833104.2415877,774.115366238855,1.43211342754188,13.9340765922994,27.8681531845988,1.92986960803347,0.216752302546879,9845.80148958069,65114278.8016126,468.448048932465,2.34224024466233,8.43206488078437,16.8641297615687,1.16784098598864,1.17112012233116,10502.9331707001,9.85513581009544,0.124933037547575,30866804.1732947,"G0800010008545",0.844919786096257,0,0,0.13680926916221,0.0124777183600713,0.00579322638146168
"30","G0800010008546","08",1260,10.1738073419466,0.0431798008102245,28098115.1219985,54243928.4612476,52308.5134631125,2.0923405385245,4.91700026553257,0.0313851080778675,0.575393648094237,0.397544702319655,6346.53962996597,66570890.3919323,727.534812265659,1.34593940269147,13.0956266207819,26.1912532415637,1.81374428697829,0.203709747434385,9253.3537644786,54467336.0315952,391.8513383568,1.959256691784,7.0533240904224,14.1066481808448,0.976885386523502,0.979628345891999,8785.5813018963,9.6659350002101,0.124933037547575,25545993.5962965,"G0800010008546",0.802380952380952,0.00158730158730159,0,0.19047619047619,0.00555555555555556,0
"31","G0800010008547","08",1143,10.195496218682,0.0431798008102245,28714188.496857,65087202.3318485,62764.9009950323,2.51059603980129,5.89990069353303,0.0376589405970194,0.690413910945355,0.477013247562245,7615.20267282627,70848892.5994459,774.28791282645,1.43243263872893,13.9371824308761,27.8743648617522,1.93029976667634,0.216800615591406,9847.99607132298,53368072.4697338,383.942967408157,1.91971483704078,6.91097341334682,13.8219468266936,0.957169817748535,0.959857418520392,8608.27008936806,9.71142503720242,0.124933037547575,26734918.9005363,"G0800010008547",0.865266841644794,0.00962379702537183,0,0.125109361329834,0,0
"32","G0800010008548","08",584,10.2780751400448,0.0431798008102245,31186031.7634714,61232193.528791,59047.4383112739,2.36189753245096,5.55045920125975,0.0354284629867644,0.649521821424013,0.448760531165682,7164.16664286855,67414201.7442482,736.751128327776,1.36298958740639,13.2615203099,26.5230406197999,1.83672056292115,0.206290315931777,9370.5740424505,48723171.1956453,350.526411479463,1.75263205739731,6.30947540663033,12.6189508132607,0.8738623438183,0.876316028698657,7859.04751385759,9.54070896995859,0.124933037547575,22539165.1132154,"G0800010008548",0.748287671232877,0.00171232876712329,0,0.25,0,0
"33","G0800010008549","08",1297,10.2596094939859,0.0431798008102245,30615445.8706284,72344965.2024615,69763.7080062309,2.79054832024924,6.55778855258571,0.0418582248037386,0.76740078806854,0.530204180847355,8464.36092868799,67742682.0458534,740.340998512091,1.36963084724737,13.3261379732176,26.6522759464353,1.84567010929064,0.207295479583386,9416.23280437362,52335402.9999145,376.513690646867,1.88256845323434,6.77724643164361,13.5544928632872,0.938648630782639,0.941284226617168,8441.70050388621,9.67287150740007,0.124933037547575,25723809.5624465,"G0800010008549",0.804163454124904,0.015420200462606,0,0.174248265227448,0,0
