"","GISJOIN","state_code","TOTALHH","response","SE","BTUelec","response","SE","BTUng","response","SE","BTUlpg","response","SE","BTUfo","response","SE","BTUwd"
"1878","G3500070950600","35",1615,10.0351990124616,0.0431798008102245,24461346.238078,10.7547737137948,0.0632810440206887,49499474.1149541,8.39609635451133,0.616218878489942,4429740.81480395,8.69278255882778,0.203908437872553,5959742.5262212,9.2583792321215,0.295740613754592,10492114.2704079
"1879","G3500070950700","35",2233,10.0246760380619,0.0431798008102245,24205289.7187531,10.4143336456901,0.0632810440206887,35216755.4860016,9.3670855201418,0.616218878489942,11696974.7636456,8.20791911250673,0.203908437872553,3669897.87067233,9.74967720498068,0.295740613754592,17148692.4032813
"1880","G3500090000100","35",1560,10.1434284008007,0.0431798008102245,27257359.4289827,10.4988686964735,0.0632810440206887,38323260.218577,8.35292445643915,0.616218878489942,4242569.82928544,7.23549910376728,0.203908437872553,1387833.39822775,8.79800571584616,0.295740613754592,6621026.62257356
"1881","G3500090000201","35",1786,10.262818357108,0.0431798008102245,30713844.4351775,10.5665487101508,0.0632810440206887,41006764.5423881,8.32005564286144,0.616218878489942,4105388.43747889,7.07539034876859,0.203908437872553,1182505.00009653,8.93197521003648,0.295740613754592,7570203.3602212
"1882","G3500090000202","35",1516,10.1919056392075,0.0431798008102245,28611272.7950826,10.5433921026536,0.0632810440206887,40068097.1124157,8.32170375514367,0.616218878489942,4112160.15733054,7.07161484326294,0.203908437872553,1178048.86333596,8.87626805684896,0.295740613754592,7160020.02579097
"1883","G3500090000301","35",2702,10.2117520257433,0.0431798008102245,29184775.3266203,10.6299997148342,0.0632810440206887,43693006.1350559,8.30742754165619,0.616218878489942,4053871.14421564,6.93239911838544,0.203908437872553,1024950.00870238,9.00810661665964,0.295740613754592,8169039.4998064
"1884","G3500090000303","35",1752,10.2668761614447,0.0431798008102245,30838728.4123358,10.4655380018928,0.0632810440206887,37066972.1168107,8.40239147248475,0.616218878489942,4457714.51230818,6.76750138015899,0.203908437872553,869137.534384996,8.91767526242151,0.295740613754592,7462720.18222608
"1885","G3500090000304","35",2633,10.4004174115188,0.0431798008102245,35244608.4629096,10.5234304894259,0.0632810440206887,39276203.2892494,8.6134153265671,0.616218878489942,5505018.04217338,6.98374228170823,0.203908437872553,1078948.55067631,9.02318754301182,0.295740613754592,8293169.83044212
"1886","G3500090000400","35",1437,10.2270907192084,0.0431798008102245,29635882.50204,10.5324181303541,0.0632810440206887,39630794.7850368,8.38353774090278,0.616218878489942,4374457.28040092,7.10542416661616,0.203908437872553,1218558.84711273,8.88698045463799,0.295740613754592,7237133.30511665
"1887","G3500090000500","35",781,10.2017297036289,0.0431798008102245,28893736.9836265,10.5926848134742,0.0632810440206887,42092650.1739911,8.32456101608588,0.616218878489942,4123926.47364926,7.35591552768125,0.203908437872553,1565429.53360107,8.76219249730088,0.295740613754592,6388102.1319431
"1888","G3500090000601","35",480,10.4652068917582,0.0431798008102245,37603684.8300234,10.6994629021997,0.0632810440206887,46835957.6601026,8.96058595785784,0.616218878489942,7789920.69035954,7.54779699482713,0.203908437872553,1896559.9942575,9.47294969605851,0.295740613754592,13003186.1653771
"1889","G3500090000602","35",1847,10.5008462742953,0.0431798008102245,38968024.6443626,10.5179387190202,0.0632810440206887,39061098.5918026,8.94771753983173,0.616218878489942,7690318.96729828,6.97004194549372,0.203908437872553,1064267.39082302,9.54406955921243,0.295740613754592,13961649.9307239
"1890","G3500090000603","35",1378,10.3721107050707,0.0431798008102245,34260937.5997102,10.5220915166881,0.0632810440206887,39223648.7162233,8.76906316606753,0.616218878489942,6432143.79030979,7.118109013089,0.203908437872553,1234114.53115626,8.86628355536112,0.295740613754592,7088886.50251731
"1891","G3500090000900","35",643,10.3535847130388,0.0431798008102245,33632062.9920761,10.2528609295352,0.0632810440206887,29965576.1548215,8.66457143476594,0.616218878489942,5793960.92792568,6.423151526622,0.203908437872553,615941.213667739,8.87827076526778,0.295740613754592,7174373.82661683
