"","GISJOIN","state_code","TOTALHH","TOTALPOP","BTUelec","BTUng","BTUlpg","BTUfo","BTUwood"
"1","G0800010007801",8,1280,4137,78228539588.8832,117576063050.391,0.00122339521737367,0.000413699999999988,0.00193582598973732
"2","G0800010007802",8,1445,4664,88731888358.6168,125106432588.508,0.00113327225815768,0.000466399999999987,0.00302433556441547
"3","G0800010007900",8,1904,5684,123327626909.226,228727992759.999,0.00153838787343632,0.000568399999999984,0.00362742631912291
"4","G0800010008000",8,1774,6241,157045184190.164,350876884609.402,0.00233639469668013,0.000624099999999982,0.00517183125189051
"5","G0800010008100",8,711,1525,27335444059.4834,32588077755.9459,0.00135313271612158,0.000152499999999997,0.0000372967241764878
"6","G0800010008200",8,1528,6133,192228645949.341,439713978978.452,0.00298536893554023,0.00061329999999998,0.0114194464447253
"7","G0800010008308",8,1835,5545,128949844952.539,245028194489.623,0.0091473146632412,0.000554499999999984,0.0247675096045431
"8","G0800010008309",8,1083,4098,100450796082.787,210643982426.299,0.00190095330565233,0.000409799999999988,0.0484840671430976
"9","G0800010008353",8,2578,7907,212160667824.527,425000239555.396,0.00212243508621523,0.000790699999999977,0.0129072499231888
"10","G0800010008401",8,1647,4710,138585340606.439,247242487735.509,3.91075292389236,0.000470999999999988,0.268988527418848
"11","G0800010008402",8,1600,4894,157257637979.065,292386223575.513,0.931561808356814,0.000489399999999988,0.146137408912334
"12","G0800010008505",8,2375,7271,216813533825.987,488352337729.74,0.00388142159715851,0.000727099999999979,0.0119193415121305
"13","G0800010008506",8,2717,6914,129937698066.525,176298953892.55,0.00156650382786002,0.000691399999999985,0.00393639207849536
"14","G0800010008507",8,2006,6704,212168044116.321,463575562044.846,0.00327597567501542,0.000670399999999981,0.0109467992912408
"15","G0800010008508",8,1947,5896,161247150738.91,317155130935.68,0.00460164309939074,0.000589599999999985,0.0382925044121345
"16","G0800010008523",8,2860,8345,252679770752.838,497713387245.256,0.163788624909206,0.000834499999999979,0.0368537597099511
"17","G0800010008524",8,2563,8378,274892661307.184,628061821891.867,0.00230885818018217,0.000837799999999976,0.00976186454550946
"18","G0800010008526",8,2536,6978,190004996369.056,419366230280.153,0.0017631381494724,0.000697799999999982,0.00316888294012695
"19","G0800010008529",8,3254,7235,152079637638.584,265320151048.177,0.00201371823974808,0.000723499999999984,0.00334460501784762
"20","G0800010008533",8,2957,8186,184815336981.681,334673127329.358,0.00301982259365667,0.000818599999999979,0.00803544220405154
"21","G0800010008534",8,1353,5058,164698291411.451,290461175608.875,0.000970796957256019,0.000505799999999987,0.060494602408347
"22","G0800010008535",8,1144,3677,104828760883.655,221022433363.704,0.00175929650612293,0.000367699999999991,0.00524308302549409
"23","G0800010008537",8,1881,6842,225776158802.067,485480149764.674,0.00207942798779347,0.000684199999999983,0.0114911034369582
"24","G0800010008538",8,2255,7586,259810096571.632,549619909620.253,0.00178839960314846,0.000758599999999978,0.00523842888156214
"25","G0800010008539",8,3044,10670,349844146739.543,688165800640.261,0.00362019875941179,0.00106699999999997,0.0124882032012945
"26","G0800010008540",8,2480,8039,281113445373.867,592539849949.212,0.00298165282329901,0.000803899999999977,0.00951797273389121
"27","G0800010008542",8,2709,9069,296348760556.754,628497747293.692,0.00224100349671763,0.000906899999999977,0.0110252825875211
"28","G0800010008543",8,2823,9171,254985097752.882,572515561212.467,0.00425958623954804,0.000917099999999977,0.0183193087545843
"29","G0800010008545",8,2244,7218,233844269253.635,534057640118.426,0.00196218370496707,0.000721799999999979,0.0198955049880771
"30","G0800010008546",8,1260,3662,96702072145.5459,190046648600.889,0.000798726232151174,0.000366199999999991,0.0137557654958836
